[Tue May 08 17:27:09 2018]bla-bla
[Wed May 09 11:08:15 2018]bla-bla
[Wed May 09 11:08:49 2018]bla-bla
[Wed May 09 11:08:50 2018]bla-bla
[Wed May 09 11:08:50 2018]bla-bla
[Wed May 09 11:08:50 2018]bla-bla
[Wed May 09 11:08:51 2018]bla-bla
[Wed May 09 11:08:51 2018]bla-bla
[Wed May 09 11:08:51 2018]bla-bla
[Wed May 09 22:07:04 2018]bla-bla
[Wed May 09 22:07:06 2018]bla-bla
[Wed May 09 22:53:04 2018] bla-bla
[Wed May 09 23:24:39 2018] bla-bla
[Wed May 09 23:24:40 2018] bla-bla
[Wed May 09 23:25:50 2018] bla-bla
[Wed May 09 23:30:50 2018] bla-bla
[Wed May 09 23:36:04 2018] bla-bla
[Wed May 09 23:39:06 2018] bla-bla
[Wed May 09 23:39:07 2018] bla-bla
[Wed May 09 23:39:07 2018] bla-bla
[Wed May 09 23:39:08 2018] bla-bla
[Wed May 09 23:39:08 2018] bla-bla
[Wed May 09 23:39:08 2018] bla-bla
[Wed May 09 23:39:19 2018] bla-bla
[Wed May 09 23:39:19 2018] bla-bla
[Wed May 09 23:39:20 2018] bla-bla
[Wed May 09 23:39:20 2018] bla-bla
[Wed May 09 23:39:21 2018] bla-bla
[Wed May 09 23:56:36 2018] bla-bla
[Wed May 09 23:59:23 2018] bla-bla
[Thu May 10 00:00:03 2018] bla-bla
[Thu May 10 00:01:37 2018] bla-bla
[Thu May 10 00:02:10 2018] bla-bla
[Thu May 10 00:03:17 2018] bla-bla
[Thu May 10 00:04:50 2018] bla-bla
[Thu May 10 00:04:52 2018] bla-bla
[Thu May 10 00:04:52 2018] bla-bla
[Thu May 10 00:04:53 2018] bla-bla
[Thu May 10 00:04:53 2018] bla-bla
[Thu May 10 00:04:54 2018] bla-bla
[Thu May 10 00:04:54 2018] bla-bla
[Thu May 10 00:04:55 2018] bla-bla
[Thu May 10 00:04:55 2018] bla-bla
[Thu May 10 00:04:56 2018] bla-bla
[Thu May 10 00:04:56 2018] bla-bla
[Thu May 10 00:04:57 2018] bla-bla
[Thu May 10 00:05:31 2018] bla-bla
[Thu May 10 00:05:31 2018] bla-bla
[Thu May 10 00:05:32 2018] bla-bla
[Thu May 10 00:05:32 2018] bla-bla
[Thu May 10 00:05:32 2018] bla-bla
[Thu May 10 00:05:41 2018] bla-bla
[Thu May 10 00:05:42 2018] bla-bla
[Thu May 10 00:05:42 2018] bla-bla
[Thu May 10 00:05:43 2018] bla-bla
[Thu May 10 00:05:43 2018] bla-bla
[Thu May 10 00:11:01 2018] bla-bla
[Thu May 10 00:11:02 2018] bla-bla
[Thu May 10 00:11:02 2018] bla-bla
[Thu May 10 00:11:02 2018] bla-bla
[Thu May 10 00:12:05 2018] bla-bla
[Thu May 10 00:12:06 2018] bla-bla
[Thu May 10 00:16:45 2018] bla-bla
[Thu May 10 00:17:02 2018] bla-bla
[Thu May 10 00:24:10 2018] bla-bla
[Thu May 10 11:21:02 2018] bla-bla
[Thu May 10 11:22:03 2018] bla-bla
[Thu May 10 11:38:36 2018] bla-bla
[Thu May 10 11:38:36 2018] bla-bla
[Thu May 10 11:38:37 2018] bla-bla
[Thu May 10 11:38:37 2018] bla-bla
[Thu May 10 11:38:37 2018] bla-bla
[Thu May 10 11:53:01 2018] bla-bla
[Thu May 10 11:56:38 2018] bla-bla
[Thu May 10 11:58:36 2018] bla-bla
[Thu May 10 11:59:16 2018] bla-bla
[Thu May 10 12:07:39 2018] bla-bla
[Thu May 10 12:07:40 2018] bla-bla
[Thu May 10 12:07:40 2018] bla-bla
[Thu May 10 12:07:41 2018] bla-bla
[Thu May 10 12:07:41 2018] bla-bla
[Thu May 10 12:07:41 2018] bla-bla
[Thu May 10 12:07:41 2018] bla-bla
[Thu May 10 12:07:41 2018] bla-bla
[Thu May 10 12:11:59 2018] bla-bla
[Thu May 10 12:11:59 2018] bla-bla
[Thu May 10 12:12:00 2018] bla-bla
[Thu May 10 12:12:00 2018] bla-bla
[Thu May 10 12:12:00 2018] bla-bla
[Thu May 10 12:12:00 2018] bla-bla
[Thu May 10 12:12:00 2018] bla-bla
[Thu May 10 12:12:17 2018] bla-bla
[Thu May 10 12:12:18 2018] bla-bla
[Thu May 10 12:12:19 2018] bla-bla
[Thu May 10 12:12:19 2018] bla-bla
[Thu May 10 12:12:19 2018] bla-bla
[Thu May 10 12:12:19 2018] bla-bla
[Thu May 10 12:12:19 2018] bla-bla
[Thu May 10 12:12:20 2018] bla-bla
[Thu May 10 12:17:08 2018] bla-bla
[Thu May 10 12:17:09 2018] bla-bla
[Thu May 10 12:17:09 2018] bla-bla
[Thu May 10 12:17:09 2018] bla-bla
[Thu May 10 13:15:27 2018] Осуществлен вход через терминал, началось одновление данных
[Thu May 10 13:15:27 2018] Начало обновления файла с жанрами
[Thu May 10 13:15:28 2018] Файл с жанрами успешно получен с API
[Thu May 10 13:15:28 2018] Начало обновления файла с жанрами
